u_in,T_wafer
5.000000000000000278e-02,9.000000000000000000e+02
5.000000000000000278e-02,1.100000000000000000e+03
2.000000000000000111e-01,9.000000000000000000e+02
2.000000000000000111e-01,1.100000000000000000e+03
1.250000000000000000e-01,1.000000000000000000e+03
5.000000000000000278e-02,1.000000000000000000e+03
2.000000000000000111e-01,1.000000000000000000e+03
1.250000000000000000e-01,9.000000000000000000e+02
1.250000000000000000e-01,1.100000000000000000e+03
1.250000000000000000e-01,1.000000000000000000e+03
