% Model,CVD_Reactor_SingleZone_Complete.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 18 2026, 15:15"
% Dimension,1
% Nodes,771
% Expressions,1
% Description,Line graph
% r-coordinate (m),Molar concentration; c
0,4.854938758848657E-4
1.9480519480519486E-4,4.857543417638311E-4
3.896103896103897E-4,4.8601480764279644E-4
5.84415584415593E-4,4.865890514888564E-4
7.792207792207961E-4,4.8716329533491645E-4
9.740259740259744E-4,4.8552991036674906E-4
0.0011688311688311526,4.838965253985816E-4
0.0013636363636363473,4.860356419221334E-4
0.0015584415584415422,4.8817475844568513E-4
0.0017532467532467289,4.890976208212259E-4
0.0019480519480519153,4.900204831967666E-4
0.002142857142857127,4.935899617811313E-4
0.0023376623376623385,4.97159440365496E-4
0.0025324675324675167,4.951421269072797E-4
0.002727272727272695,4.931248134490634E-4
0.0029220779220778814,4.93667997031327E-4
0.003116883116883068,4.942111806135906E-4
0.003311688311688263,4.936226834217317E-4
0.0035064935064934577,4.930341862298728E-4
0.0037012987012986524,4.961575598155017E-4
0.003896103896103847,4.992809334011305E-4
0.0040909090909090505,4.999718074202681E-4
0.004285714285714254,5.006626814394056E-4
0.004480519480519432,5.016250486243711E-4
0.00467532467532461,5.025874158093366E-4
0.004870129870129805,5.025005591732304E-4
0.005064935064935,5.024137025371243E-4
0.0052597402597402195,5.029661393315401E-4
0.005454545454545439,5.035185761259558E-4
0.005649350649350618,5.032222002688391E-4
0.005844155844155796,5.029258244117225E-4
0.006038961038960999,5.039819480945717E-4
0.0062337662337662025,5.05038071777421E-4
0.006428571428571381,5.048220721104535E-4
0.006623376623376559,5.046060724434859E-4
0.0068181818181817615,5.054013922270557E-4
0.007012987012986965,5.061967120106255E-4
0.007207792207792143,5.059131533453398E-4
0.007402597402597321,5.056295946800541E-4
0.007597402597402516,5.059699477737677E-4
0.0077922077922077115,5.063103008674813E-4
0.007987012987012914,5.05983954857341E-4
0.008181818181818118,5.056576088472008E-4
0.008376623376623312,5.061779400190313E-4
0.008571428571428508,5.066982711908617E-4
0.008766233766233686,5.061124772450727E-4
0.008961038961038864,5.055266832992838E-4
0.00915584415584406,5.056331028169013E-4
0.009350649350649253,5.057395223345188E-4
0.009545454545454458,5.052237582411834E-4
0.00974025974025966,5.047079941478481E-4
0.009935064935064838,5.055091864739231E-4
0.010129870129870017,5.063103787999981E-4
0.01032467532467522,5.06383019380592E-4
0.010519480519480423,5.064556599611858E-4
0.010714285714285617,5.066040076727842E-4
0.010909090909090813,5.067523553843826E-4
0.011103896103896008,5.068540451545946E-4
0.011298701298701202,5.069557349248066E-4
0.011493506493506389,5.068366446896373E-4
0.011688311688311576,5.06717554454468E-4
0.01188311688311677,5.069524890697723E-4
0.012077922077921965,5.071874236850766E-4
0.012272727272727168,5.074396231920079E-4
0.012467532467532372,5.076918226989392E-4
0.01266233766233755,5.07868401611335E-4
0.012857142857142729,5.080449805237306E-4
0.013051948051947922,5.085119620357045E-4
0.013246753246753118,5.089789435476782E-4
0.013441558441558338,5.090995790628936E-4
0.013636363636363558,5.09220214578109E-4
0.013831168831168736,5.096249843766264E-4
0.014025974025973914,5.100297541751438E-4
0.01422077922077911,5.101088968534301E-4
0.014415584415584303,5.101880395317163E-4
0.014610389610389508,5.102748846396929E-4
0.01480519480519471,5.103617297476696E-4
0.014999999999999906,5.102473490233763E-4
0.0151948051948051,5.10132968299083E-4
0.015389610389610278,5.103361654659913E-4
0.015584415584415456,5.105393626328997E-4
0.015779220779220643,5.104400216340635E-4
0.015974025974025828,5.103406806352272E-4
0.016168831168831024,5.103014651260181E-4
0.01636363636363622,5.102622496168091E-4
0.01655844155844141,5.102737743960974E-4
0.016753246753246607,5.102852991753856E-4
0.016948051948051795,5.102493724466937E-4
0.01714285714285698,5.102134457180017E-4
0.01733766233766216,5.099085372610084E-4
0.017532467532467337,5.096036288040151E-4
0.01772727272727255,5.095355972747656E-4
0.01792207792207776,5.094675657455161E-4
0.018116883116882962,5.093327189049225E-4
0.018311688311688168,5.091978720643289E-4
0.018506493506493346,5.091919609179841E-4
0.018701298701298524,5.091860497716393E-4
0.018896103896103727,5.090468450449919E-4
0.01909090909090893,5.089076403183445E-4
0.019285714285714108,5.08965698059376E-4
0.019480519480519286,5.090237558004074E-4
0.0196753246753245,5.091761139196676E-4
0.019870129870129708,5.093284720389279E-4
0.020064935064934897,5.091147343408476E-4
0.020259740259740082,5.089009966427675E-4
0.020454545454545277,5.09135251721977E-4
0.020649350649350473,5.093695068011866E-4
0.020844155844155676,5.098398418753841E-4
0.021038961038960878,5.103101769495815E-4
0.021233766233766056,5.101318632291956E-4
0.021428571428571234,5.099535495088096E-4
0.02162337662337643,5.087725874393712E-4
0.021818181818181626,5.075916253699329E-4
0.022012987012986818,5.085787452414601E-4
0.022207792207792013,5.095658651129873E-4
0.022402597402597216,5.073484927979803E-4
0.022597402597402422,5.051311204829731E-4
0.022792207792207614,5.062937929603203E-4
0.02298701298701281,5.074564654376676E-4
0.023181818181817998,5.079741732462897E-4
0.023376623376623183,5.08491881054912E-4
0.02357142857142838,5.084032212260906E-4
0.023766233766233574,5.083145613972692E-4
0.023961038961038753,5.086161886502256E-4
0.02415584415584393,5.08917815903182E-4
0.024350649350649133,5.090684606518557E-4
0.024545454545454336,5.092191054005294E-4
0.02474025974025953,5.093605750206622E-4
0.024935064935064727,5.09502044640795E-4
0.02512987012986993,5.094280629325879E-4
0.025324675324675132,5.093540812243807E-4
0.025519480519480317,5.09493383569342E-4
0.025714285714285506,5.096326859143032E-4
0.0259090909090907,5.096818375061331E-4
0.026103896103895897,5.097309890979632E-4
0.0262987012987011,5.097987500470495E-4
0.026493506493506302,5.09866510996136E-4
0.02668831168831149,5.097572695942006E-4
0.026883116883116676,5.096480281922652E-4
0.027077922077921878,5.094778815996331E-4
0.02727272727272708,5.093077350070009E-4
0.027467532467532287,5.085564971561995E-4
0.02766233766233749,5.078052593053981E-4
0.027857142857142685,5.084766169685168E-4
0.028051948051947877,5.091479746316354E-4
0.02824675324675308,5.087493098977431E-4
0.02844155844155828,5.083506451638507E-4
0.028636363636363477,5.074694510418341E-4
0.028831168831168673,5.065882569198175E-4
0.02902597402597387,5.076292286488625E-4
0.029220779220779064,5.086702003779075E-4
0.029415584415584266,5.103062248485739E-4
0.02961038961038947,5.119422493192403E-4
0.029805194805194665,5.095728491569759E-4
0.02999999999999986,5.072034489947113E-4
0.030194805194805045,5.04330980287854E-4
0.03038961038961023,5.014585115809966E-4
0.030584415584415426,5.044906850544204E-4
0.03077922077922062,5.075228585278442E-4
0.030974025974025834,5.097162480876166E-4
0.031168831168831044,5.11909637647389E-4
0.03136363636363623,5.123106989746E-4
0.03155844155844142,5.127117603018109E-4
0.03175324675324662,5.077518687502279E-4
0.03194805194805181,5.02791977198645E-4
0.032142857142857,5.055474918936478E-4
0.0323376623376622,5.083030065886507E-4
0.03253246753246739,5.063852358433034E-4
0.032727272727272584,5.04467465097956E-4
0.03292207792207779,5.056728794968695E-4
0.033116883116882996,5.06878293895783E-4
0.03331168831168819,5.074908845341692E-4
0.03350649350649338,5.081034751725553E-4
0.03370129870129858,5.089433474140281E-4
0.03389610389610377,5.097832196555008E-4
0.034090909090908963,5.104779485862966E-4
0.03428571428571416,5.111726775170924E-4
0.03448051948051936,5.115238317125943E-4
0.034675324675324554,5.118749859080962E-4
0.034870129870129746,5.121483524346275E-4
0.035064935064934945,5.124217189611587E-4
0.03525974025974014,5.125713828548406E-4
0.03545454545454533,5.127210467485223E-4
0.03564935064935054,5.132303775196E-4
0.035844155844155755,5.137397082906778E-4
0.036038961038960954,5.140160004860862E-4
0.036233766233766146,5.142922926814947E-4
0.03642857142857135,5.144130517685489E-4
0.03662337662337655,5.14533810855603E-4
0.036818181818181736,5.14563612894946E-4
0.03701298701298692,5.145934149342889E-4
0.037207792207792134,5.146493323593844E-4
0.03740259740259735,5.1470524978448E-4
0.037597402597402525,5.145647575086243E-4
0.037792207792207703,5.144242652327688E-4
0.0379870129870129,5.14432723635865E-4
0.03818181818181811,5.144411820389611E-4
0.0383766233766233,5.145459603688022E-4
0.0385714285714285,5.146507386986432E-4
0.0387662337662337,5.146608841000747E-4
0.03896103896103889,5.146710295015061E-4
0.0391558441558441,5.145529974706455E-4
0.039350649350649296,5.14434965439785E-4
0.039545454545454474,5.151074416334066E-4
